####gene WT_1 WT_2 WT_3 CTCF_4 CTCF_5 CTCF_6 Med12_7 Med12_8 Smc1_9 Smc1_10
uc007izd.1 47 121 30 42 26 72 20 44 152 241
uc007ize.1 0 0 0 0 0 0 0 0 0 0
uc007izf.1 29 49 13 12 9 25 1 12 16 17
uc007izh.2 0 0 0 0 0 0 0 0 0 0
uc007izi.2 0 0 0 0 0 0 0 0 0 0
uc007izj.1 620 1254 184 326 263 758 694 951 592 806
uc007izk.1 24 54 9 18 4 33 3 44 34 62
uc007izl.1 24 16 3 5 1 11 0 10 11 10
uc007izm.1 552 1212 207 221 65 471 56 783 762 1353
uc007izn.1 0 0 0 0 0 0 0 0 0 0
uc007izo.1 0 0 0 0 0 0 0 0 0 0
uc007izp.1 0 0 0 0 0 0 0 0 0 0
uc007izq.1 0 0 0 0 0 0 0 1 2 3
uc007izr.2 0 0 0 0 0 0 0 0 0 0
uc007izs.2 0 0 0 0 0 0 0 0 0 0
uc007izt.2 0 0 0 0 0 0 0 0 0 0
uc007izu.2 0 0 0 0 0 0 0 0 0 2
uc007izv.2 0 0 0 0 0 0 0 0 0 0
uc007izw.1 3 13 5 3 2 12 2 11 13 38
uc007izx.1 0 0 0 0 0 0 2 0 4 3
uc007izy.1 0 0 0 0 0 0 0 0 0 0
uc007izz.1 0 0 0 0 0 0 0 0 0 0
uc007jaa.1 19 43 8 14 7 24 11 32 14 16
uc007jab.1 9 3 0 1 0 3 1 0 2 3
uc007jac.1 0 0 0 0 0 0 0 0 0 0
uc007jad.1 7 12 2 1 2 4 5 16 26 33
uc007jae.1 166 391 63 137 73 208 102 328 295 452
uc007jaf.1 17 50 18 13 9 20 13 19 29 40
uc007jah.2 4434 10729 2207 3830 2568 7711 2605 8438 8771 13878
uc007jaj.1 8 15 1 0 9 11 11 11 13 16
uc007jak.1 0 3 0 0 1 1 0 0 2 2
uc007jal.2 0 0 0 0 0 0 0 0 0 0
uc007jam.2 0 0 0 0 0 0 0 0 0 0
uc007jan.2 0 0 0 0 0 0 0 0 0 0
uc007jao.2 0 0 0 0 0 0 0 0 0 0
uc007jap.2 371 800 120 209 135 447 109 1052 448 732
uc007jaq.1 0 0 0 0 0 0 0 0 0 0
uc007jar.1 0 0 0 0 0 0 0 0 0 0
uc007jas.2 1 0 0 0 0 0 0 0 0 0
uc007jat.2 0 0 0 0 0 0 0 0 0 0
uc007jau.2 0 0 0 0 0 0 0 0 0 2
uc007jav.2 0 0 0 0 0 0 0 0 0 0
uc007jaw.1 0 0 0 0 0 0 0 0 0 0
uc007jax.1 0 0 0 0 0 0 0 0 0 0
uc007jay.1 0 0 0 0 0 0 0 0 0 0
uc007jaz.2 0 1 0 2 0 0 0 0 0 2
uc007jba.2 0 0 0 0 0 0 0 0 0 0
uc007jbb.2 0 0 0 0 0 0 0 0 0 0
uc007jbc.2 0 0 0 0 0 0 0 0 0 0
uc007jbd.2 1 0 1 0 0 0 0 0 0 2
uc007jbe.2 0 0 0 0 0 0 0 0 0 0
uc007jbf.2 0 0 0 0 0 0 0 0 0 0
uc007jbg.2 0 1 1 0 0 0 0 0 0 1
uc007jbh.1 1 9 3 5 1 11 0 19 10 13
uc007jbi.2 2 1 1 1 1 5 0 2 7 10
uc007jbj.1 0 0 0 0 0 0 0 0 0 0
uc007jbk.1 0 0 0 0 0 0 0 0 0 0
uc007jbl.1 0 0 0 0 0 0 0 0 0 0
uc007jbm.1 0 0 0 0 0 0 0 0 0 5
uc007jbn.2 0 0 0 0 0 0 0 1 0 0
uc007jbo.2 0 0 0 0 0 0 0 0 0 0
uc007jbp.1 0 0 0 0 0 0 0 0 0 0
uc007jbq.1 0 0 0 0 0 0 0 0 0 0
uc007jbr.2 0 0 0 1 0 1 0 0 1 0
uc007jbs.2 0 0 0 0 0 0 0 0 3 6
uc007jbt.1 0 0 0 0 0 0 0 0 1 0
uc007jbu.2 0 0 0 0 0 0 0 0 0 1
uc007jbv.2 0 0 0 0 0 0 0 0 0 0
uc007jbw.2 0 0 0 0 0 0 0 0 0 0
uc007jbx.1 0 0 0 0 0 0 0 0 0 0
uc007jby.1 0 0 0 0 0 5 0 1 2 0
uc007jbz.1 0 0 0 0 0 0 0 0 0 0
uc007jca.1 0 0 0 0 0 0 0 0 0 0
uc007jcb.1 0 0 0 0 0 0 0 0 0 0
uc007jcc.2 0 0 0 0 0 0 0 0 0 0
uc007jcd.2 0 1 0 0 0 0 0 0 0 0
uc007jce.1 0 1 0 0 0 0 0 0 0 0
uc007jcf.2 0 0 0 0 0 0 0 0 0 0
uc007jcg.2 0 0 0 0 0 0 0 0 0 0
uc007jch.2 0 0 0 0 0 0 0 0 0 0
uc007jci.2 0 0 0 0 0 0 0 0 0 0
uc007jcj.2 0 0 0 0 0 0 0 0 0 0
uc007jck.1 0 0 0 0 0 0 0 0 0 0
uc007jcl.1 0 0 0 0 0 0 0 0 0 0
uc007jcm.1 70 184 31 78 25 163 31 394 234 526
uc007jcn.1 126 236 59 129 34 260 27 732 303 636
uc007jco.1 0 0 0 0 1 0 0 1 0 0
uc007jcp.1 0 0 0 0 0 0 0 0 0 0
uc007jcq.1 1383 2649 408 982 736 2291 1051 1681 2017 2407
uc007jcr.1 304 473 64 336 292 793 381 402 1403 1654
uc007jcs.1 101 207 28 91 80 213 101 162 265 655
uc007jct.1 34 67 9 7 0 25 3 22 33 94
uc007jcu.1 0 0 0 0 0 0 0 0 0 0
uc007jcv.1 0 0 0 0 0 0 0 0 0 2
uc007jcw.1 0 3 0 1 3 6 0 8 8 20
uc007jcx.1 5 7 4 11 0 10 0 13 18 39
uc007jcy.1 0 0 0 0 0 0 0 0 0 0
uc007jcz.1 1 0 0 0 0 0 0 0 0 0
uc007jda.1 0 0 0 0 0 0 0 0 0 0
uc007jdb.2 0 8 2 1 1 5 4 1 4 10
uc007jdc.2 0 0 0 0 0 0 0 0 0 0
uc007jdd.1 93 214 24 32 26 74 33 84 124 126
uc007jde.2 0 0 0 0 0 0 0 0 0 0
uc007jdf.2 0 0 0 0 0 0 1 0 0 1
uc007jdg.2 1 0 1 1 1 1 0 0 0 1
uc007jdh.1 9 29 7 11 12 40 2 39 35 57
uc007jdi.1 0 0 0 0 0 0 0 0 0 0
uc007jdj.1 0 0 0 0 0 0 0 0 0 0
uc007jdk.1 1 2 0 0 0 0 0 0 0 0
uc007jdl.1 115 236 53 48 51 119 75 252 217 310
uc007jdm.2 2 7 2 4 3 4 6 0 8 4
uc007jdn.2 0 0 0 0 0 0 0 0 0 0
uc007jdo.2 0 6 1 1 0 5 0 8 2 10
uc007jdp.2 7 29 4 4 2 6 5 8 11 16
uc007jdq.1 0 0 0 0 0 0 0 0 0 0
uc007jdr.1 2 8 1 1 0 1 0 2 2 8
uc007jds.1 0 0 0 0 0 0 0 0 0 0
uc007jdt.1 0 0 0 0 0 0 0 0 0 0
uc007jdu.1 0 0 0 0 0 0 0 0 0 1
uc007jdv.1 0 0 0 0 0 0 0 0 0 0
uc007jdw.1 0 0 0 0 0 0 0 0 0 0
uc007jdx.1 0 0 0 0 0 0 0 0 0 0
uc007jdy.1 149 351 48 86 17 171 8 517 422 1176
uc007jea.2 0 0 0 0 0 0 0 0 0 0
uc007jeb.2 0 0 0 0 0 0 0 0 0 0
uc007jec.2 0 0 0 0 0 0 0 0 0 0
uc007jed.2 2 4 0 0 0 1 3 4 5 6
uc007jee.2 1 3 1 2 0 6 0 6 7 13
uc007jef.2 2 5 1 4 2 8 0 2 7 13
uc007jeh.1 0 0 0 0 0 0 0 0 0 0
uc007jei.1 0 0 0 0 0 0 0 0 0 0
uc007jej.1 0 0 0 0 0 0 0 0 0 0
uc007jek.1 0 0 0 0 0 0 0 0 0 0
uc007jel.1 0 0 0 0 0 0 0 0 0 0
uc007jem.2 0 0 0 0 0 0 0 0 0 0
uc007jen.2 0 0 0 0 0 0 0 0 0 0
uc007jeo.2 0 0 0 0 0 0 0 0 0 0
uc007jep.2 0 0 0 0 0 0 0 0 0 0
uc007jeq.1 1 16 4 3 3 8 1 26 8 24
uc007jer.2 8 15 0 4 1 13 6 6 22 15
uc007jes.2 0 0 0 0 0 0 0 0 0 0
uc007jet.2 0 0 0 0 0 0 0 0 0 0
uc007jeu.1 2 7 3 2 1 9 0 16 22 28
uc007jev.1 0 0 0 0 0 0 0 0 0 0
uc007jew.1 0 0 0 0 0 0 0 0 0 2
uc007jex.1 0 0 0 0 0 0 0 0 0 0
uc007jey.1 1 3 0 0 1 4 0 2 8 11
uc007jez.1 4 12 0 4 0 7 0 22 17 30
uc007jfa.1 2233 4498 813 927 282 2117 291 6762 2633 6038
uc007jfb.1 0 0 0 0 0 0 0 0 0 0
uc007jfc.1 1 1 1 0 0 0 0 0 1 5
uc007jfd.1 2 2 0 0 0 0 1 0 8 3
uc007jfe.1 1 4 0 2 4 3 1 2 1 1
uc007jff.1 0 4 0 1 0 3 0 2 1 3
uc007jfg.1 333 690 130 144 124 345 168 400 417 659
uc007jfh.1 4 20 4 5 3 15 6 8 7 19
uc007jfi.1 0 0 0 0 0 0 0 0 0 0
uc007jfj.1 2 8 1 1 2 2 6 4 3 3
uc007jfk.1 0 0 0 0 0 0 0 0 0 0
uc007jfl.1 22 39 18 11 13 17 17 25 43 37
uc007jfm.1 0 0 0 0 0 0 0 0 0 0
uc007jfn.1 0 0 0 0 0 0 0 0 0 0
uc007jfo.1 0 0 0 0 0 0 0 0 0 0
uc007jfp.1 0 1 0 0 0 0 0 1 3 1
uc007jfq.1 0 0 0 0 0 0 0 0 0 0
uc007jfr.1 0 0 0 0 0 0 0 0 0 0
uc007jfs.1 0 0 0 0 0 0 0 0 0 0
uc007jft.1 5 8 1 2 1 3 0 3 9 3
uc007jfu.1 37 88 12 13 18 36 13 69 84 157
uc007jfv.2 347 773 125 184 120 404 121 643 514 745
uc007jfw.2 403 912 139 343 174 746 148 778 917 1935
uc007jfx.2 0 1 0 1 0 1 0 0 2 4
uc007jfy.1 1024 2226 405 493 395 1151 635 1523 1213 1599
uc007jfz.1 0 0 0 0 0 0 0 0 0 0
uc007jga.1 0 0 0 0 0 0 0 0 0 0
uc007jgb.2 0 0 0 0 0 0 0 0 0 0
uc007jgc.1 0 0 0 0 0 3 0 0 0 2
uc007jgd.2 1251 2603 451 938 463 1949 510 2108 2051 3658
uc007jge.2 0 0 0 0 0 0 0 0 0 0
uc007jgf.2 0 0 0 0 0 0 0 0 0 0
uc007jgg.2 0 0 0 0 0 0 0 0 0 0
uc007jgh.1 0 0 0 0 0 0 0 0 0 0
uc007jgi.1 0 0 0 0 0 0 0 0 0 0
uc007jgj.1 159 325 65 83 58 167 79 113 234 304
uc007jgk.1 0 0 0 0 0 0 0 0 0 0
uc007jgl.1 0 0 0 0 0 0 0 0 0 0
uc007jgm.1 14 10 3 4 2 8 0 6 9 7
uc007jgn.1 327 720 136 181 99 436 84 538 754 1373
uc007jgo.1 682 1243 172 310 220 720 212 1125 401 831
uc007jgp.1 3 2 2 3 3 4 0 8 1 16
uc007jgq.2 1 0 0 0 0 0 0 2 1 1
uc007jgr.2 0 0 0 0 0 0 0 0 0 0
uc007jgs.2 0 0 0 0 0 0 0 0 0 0
uc007jgt.1 4 10 1 3 1 5 6 8 18 25
uc007jgu.2 489 1119 244 263 163 534 246 363 1199 1461
uc007jgv.1 21 43 8 21 14 38 5 82 39 75
uc007jgw.1 3 1 1 1 0 6 0 6 1 1
uc007jgx.1 0 0 0 0 0 0 0 0 0 0
uc007jgy.2 2 3 0 0 1 0 0 0 2 0
uc007jgz.2 0 0 0 0 0 0 0 2 0 0
uc007jha.1 0 0 0 0 0 0 0 0 0 0
uc007jhb.1 0 0 0 0 0 0 0 0 0 0
uc007jhc.2 1678 3816 692 1192 687 2588 605 2268 4241 6491
uc007jhd.2 0 0 0 0 0 0 0 0 0 0
uc007jhe.2 0 0 0 0 0 0 0 0 0 0
uc007jhf.1 365 782 136 285 133 649 65 684 852 1693
uc007jhg.1 10 26 5 9 5 16 4 9 7 11
uc007jhh.2 1 2 1 0 0 2 2 1 1 5
uc007jhi.2 0 0 0 0 0 0 0 0 0 0
uc007jhj.1 0 0 0 0 0 0 0 0 0 0
uc007jhk.1 0 0 0 0 0 0 0 0 0 0
uc007jhl.1 0 0 0 0 0 0 0 0 0 0
uc007jhm.1 0 0 0 0 0 0 0 0 0 0
uc007jhn.1 0 0 0 0 0 0 0 0 0 0
uc007jho.1 0 0 0 0 0 0 0 0 0 0
uc007jhp.1 0 0 0 0 0 0 0 0 0 0
uc007jhq.1 0 0 0 0 0 0 0 0 0 0
uc007jhr.1 0 0 0 0 0 0 0 0 0 0
uc007jhs.1 0 0 0 0 0 0 0 0 0 0
uc007jht.1 2 2 0 0 0 7 0 3 6 6
uc007jhu.1 159 350 62 81 75 204 60 289 187 210
uc007jhv.1 0 0 0 0 0 0 0 0 0 0
uc007jhw.1 0 0 0 0 0 0 0 0 0 0
uc007jhx.1 0 2 0 0 0 1 0 3 1 1
uc007jhy.1 0 0 0 0 0 0 0 0 0 0
uc007jhz.1 1 2 0 1 0 1 0 0 3 1
uc007jia.1 0 0 0 0 0 0 0 0 0 0
uc007jib.1 0 0 0 0 0 0 0 0 0 0
uc007jic.1 6 16 1 7 11 12 2 15 32 29
uc007jid.1 109 243 47 137 109 349 131 266 422 508
uc007jie.2 0 0 0 0 0 0 0 0 0 0
uc007jif.2 0 0 0 0 0 0 0 0 0 0
uc007jig.2 0 0 0 0 0 0 0 0 0 0
uc007jih.2 50 118 24 142 47 255 38 201 554 1150
uc007jii.1 181 356 68 137 52 283 53 567 252 606
uc007jij.1 1 1 0 0 0 1 0 4 0 7
uc007jik.1 1 6 1 1 1 7 0 8 13 7
uc007jil.1 0 0 0 0 0 3 0 1 0 3
uc007jim.1 0 0 0 1 0 0 0 1 1 4
uc007jin.1 154 362 85 145 98 303 55 305 661 904
uc007jio.1 21 41 4 7 6 16 6 22 16 41
uc007jip.2 178 337 59 96 63 226 64 353 275 429
uc007jiq.2 4 24 5 8 3 11 0 19 15 44
uc007jir.2 0 5 0 0 0 2 0 5 4 9
uc007jis.2 0 0 0 0 0 0 0 0 0 0
uc007jit.1 0 0 0 0 0 0 0 0 0 0
uc007jiu.1 0 0 0 0 0 0 0 0 0 0
uc007jiv.1 0 0 0 0 0 0 0 0 0 0
uc007jiw.1 0 0 0 0 0 0 0 0 0 0
uc007jix.1 0 0 0 0 0 0 0 0 0 0
uc007jiy.1 0 0 0 0 0 0 0 0 0 0
uc007jiz.1 0 0 0 0 0 0 0 0 0 0
uc007jja.1 0 0 0 0 0 0 0 0 0 0
uc007jjb.1 7 12 2 4 6 7 6 0 3 3
uc007jjc.1 0 0 0 0 0 0 0 0 0 0
uc007jjd.1 80 194 25 34 1 91 6 130 88 328
uc007jje.1 0 0 0 0 0 0 0 0 0 0
uc007jjf.2 391 860 147 490 299 1009 252 1054 591 1004
uc007jjg.1 4119 14925 2213 3737 3611 9130 5658 13605 8801 10916
uc007jjh.1 0 0 0 0 0 0 0 0 0 0
uc007jji.1 0 3 1 1 2 3 1 3 0 3
uc007jjj.1 0 3 0 0 3 0 0 0 5 7
uc007jjk.1 0 0 0 0 0 0 0 0 0 0
uc007jjl.1 116 213 29 46 19 115 16 198 83 177
uc007jjm.1 0 0 0 0 0 0 0 0 0 0
uc007jjn.1 1 0 0 0 0 1 0 0 0 1
uc007jjo.1 1 6 0 1 0 2 2 0 7 0
uc007jjp.1 33 64 6 12 14 58 9 33 16 35
uc007jjq.1 1 3 2 2 0 4 4 5 7 7
uc007jjr.1 7 8 1 5 3 14 0 22 13 47
uc007jjs.1 0 0 0 0 0 0 0 0 0 0
uc007jjt.1 2 12 0 6 3 16 1 29 12 36
uc007jju.1 33 76 14 37 12 63 7 162 159 386
uc007jjv.1 2 0 0 0 0 1 0 2 4 9
uc007jjw.1 0 0 0 0 0 0 0 0 1 2
uc007jjx.1 4 14 4 6 0 5 0 20 13 34
uc007jjy.1 0 0 0 0 0 0 0 1 1 3
uc007jjz.1 0 0 0 0 0 1 0 0 1 0
uc007jka.1 0 0 0 0 0 0 0 0 0 0
uc007jkb.1 0 0 0 0 0 0 0 0 0 0
uc007jkc.1 0 0 0 0 0 0 0 0 0 0
uc007jkd.1 0 0 0 0 0 0 0 0 0 0
uc007jke.2 0 0 0 0 0 0 0 0 0 0
uc007jkf.2 0 0 0 0 0 0 0 0 0 0
uc007jkg.2 0 0 0 0 0 0 0 0 0 0
uc007jkh.1 211 342 63 86 27 214 14 451 479 1035
uc007jki.1 0 1 0 0 0 2 0 3 2 6
uc007jkj.1 2 1 2 1 2 2 2 4 7 12
uc007jkk.1 0 0 0 0 0 0 0 0 0 0
uc007jkl.1 1 0 0 0 0 0 1 1 0 1
uc007jkm.1 142 248 54 41 14 58 20 104 398 755
uc007jkn.1 58 134 30 49 26 112 12 74 156 286
uc007jko.2 279 535 105 146 118 322 159 295 453 479
uc007jkp.2 5 2 0 0 0 0 0 3 2 5
uc007jkq.2 25 55 10 11 5 26 8 61 49 95
uc007jkr.1 0 3 0 2 0 5 0 0 9 5
uc007jks.2 1140 2422 467 520 449 1329 554 2103 998 1283
uc007jkt.1 0 0 0 0 0 0 0 0 1 0
uc007jku.1 0 0 0 0 0 0 0 0 0 0
uc007jkv.1 0 0 0 0 0 0 0 0 0 0
uc007jkw.1 5 5 1 2 0 1 0 12 8 20
uc007jkx.1 0 0 0 0 0 0 0 0 0 2
uc007jky.1 0 0 0 0 0 0 0 0 0 0
uc007jkz.1 0 0 0 0 0 0 0 0 0 0
uc007jla.1 0 0 0 0 0 0 0 0 0 0
uc007jlb.1 0 0 0 0 0 0 0 0 0 0
uc007jlc.1 0 0 0 0 0 0 0 3 1 1
uc007jld.1 0 0 0 0 0 0 0 1 0 3
uc007jle.1 0 0 0 0 0 0 0 0 0 0
uc007jlf.1 0 0 0 0 0 0 0 0 0 0
uc007jlg.1 0 1 0 0 0 0 0 4 3 2
uc007jlh.1 0 0 0 0 0 0 0 0 0 0
uc007jli.1 0 0 0 0 0 0 0 0 0 0
uc007jlj.1 0 0 0 0 0 0 0 0 0 0
uc007jlk.1 0 0 0 0 0 0 0 0 0 0
uc007jll.1 0 0 0 0 0 0 0 0 0 0
uc007jlm.2 6 13 5 9 3 26 6 22 82 74
uc007jln.1 10 31 5 12 4 21 4 24 2 5
uc007jlp.1 1 1 0 1 0 2 0 2 4 5
uc007jlq.1 0 0 0 0 0 0 0 0 0 0
uc007jlr.1 0 0 0 0 0 0 0 0 0 0
uc007jls.2 0 1 0 1 0 1 0 8 0 4
uc007jlt.2 0 0 0 0 0 0 0 0 0 0
uc007jlu.1 34 71 9 16 10 32 17 39 31 37
uc007jlv.1 0 0 0 0 0 0 0 2 0 0
uc007jlw.1 0 0 0 0 0 0 0 0 0 0
uc007jlx.1 30 70 7 36 31 70 40 195 23 29
uc007jly.1 0 0 0 0 0 0 0 0 0 0
uc007jlz.1 0 0 0 0 0 0 0 0 0 0
uc007jma.1 0 0 0 0 0 0 0 0 0 0
uc007jmb.1 0 0 0 0 0 0 0 0 0 0
uc007jmc.1 0 0 0 0 0 0 0 0 0 0
uc007jmd.2 0 0 0 0 0 0 0 0 1 0
uc007jmf.1 0 0 0 0 0 0 0 0 0 0
uc007jmg.1 0 0 0 0 0 1 1 0 0 0
uc007jmh.1 0 0 0 0 0 0 0 0 0 0
uc007jmi.1 0 0 0 0 0 0 0 0 0 0
uc007jmj.1 1 2 1 0 0 0 0 1 2 2
uc007jmk.1 0 0 0 0 0 0 0 0 0 0
uc007jml.1 0 0 0 0 0 0 0 0 0 0
uc007jmm.1 0 0 0 0 0 0 0 0 0 0
uc007jmn.1 0 0 0 0 0 2 2 0 0 1
uc007jmo.1 0 0 0 0 0 0 0 0 0 0
uc007jmp.1 0 0 0 0 0 0 0 0 0 0
uc007jmq.1 0 0 0 0 0 0 0 0 0 0
uc007jmr.1 0 0 0 0 0 0 0 0 0 0
uc007jms.1 0 0 0 0 0 0 0 0 0 0
uc007jmt.1 70 127 26 17 12 16 15 168 70 175
uc007jmu.1 0 0 0 0 0 0 0 0 0 0
uc007jmx.2 0 1 0 0 0 0 0 0 1 0
uc007jmy.1 0 0 0 0 0 0 0 0 0 0
uc007jmz.2 0 0 0 0 0 0 0 0 0 0
uc007jna.1 0 0 0 0 0 2 0 0 1 2
uc007jnb.2 0 0 0 0 0 0 0 0 0 0
uc007jnd.1 0 0 0 0 0 0 0 0 0 0
uc007jne.1 0 0 0 0 0 0 0 0 0 0
uc007jnf.1 9 8 2 6 2 2 1 8 3 11
uc007jng.1 0 0 0 0 0 0 0 0 0 0
uc007jnh.1 13 25 3 5 2 15 2 26 11 30
uc007jni.1 6 16 3 5 0 5 4 16 8 14
uc007jnj.1 0 0 0 0 0 0 0 0 0 0
uc007jnk.1 0 0 0 0 0 0 0 0 0 0
uc007jnl.1 0 0 0 0 0 1 0 0 0 0
uc007jnm.1 712 1499 235 204 133 393 141 259 1188 1460
uc007jnn.1 0 0 0 0 0 0 0 0 0 0
uc007jno.1 3 12 3 12 7 25 13 24 33 37
uc007jnp.1 0 0 0 0 0 0 0 0 0 0
uc007jnq.1 0 0 0 0 0 1 0 0 0 0
uc007jnr.1 0 0 0 0 0 0 0 0 0 0
uc007jns.1 0 0 0 0 0 0 0 0 0 0
uc007jnt.1 0 0 0 0 0 0 0 0 0 0
uc007jnu.1 0 0 0 0 0 0 0 0 0 0
uc007jnv.1 3 9 1 2 1 3 5 4 21 24
uc007jnw.2 0 0 0 0 0 0 0 0 0 0
uc007jnx.1 1 5 0 2 2 3 0 6 1 10
uc007jny.1 0 0 0 0 0 0 0 0 0 0
uc007jnz.1 0 0 1 0 0 0 0 1 1 0
uc007joa.1 2 2 1 1 4 11 1 19 8 17
uc007job.1 0 0 0 0 0 0 0 0 0 0
uc007joc.2 0 0 0 0 0 0 0 0 0 0
uc007jod.2 0 1 0 0 0 3 0 7 6 7
uc007joe.2 0 0 0 0 0 0 0 0 0 0
uc007jof.1 0 0 0 0 0 0 0 0 0 0
uc007jog.1 1 2 0 1 0 1 0 3 2 1
uc007joh.1 0 1 0 0 0 0 0 0 0 0
uc007joi.1 21 29 4 5 3 10 8 6 20 4
uc007joj.2 0 0 0 0 0 0 0 0 0 0
uc007jok.2 0 0 0 0 0 0 0 0 0 0
uc007jol.1 10 36 2 13 9 40 5 28 21 27
uc007jom.1 0 0 0 0 0 0 0 0 0 0
uc007jon.1 0 9 3 7 0 11 0 22 16 18
uc007joo.1 0 1 0 0 0 1 0 1 0 0
uc007jop.1 0 0 0 0 0 0 0 0 0 0
uc007joq.1 0 0 0 0 0 0 0 0 0 0
uc007jor.1 401 948 145 179 151 485 135 392 247 392
uc007jos.2 0 0 0 0 0 0 0 0 0 0
uc007jot.2 0 0 0 0 0 0 0 0 1 0
uc007jov.2 10 11 4 6 5 18 3 9 8 8
uc007jow.2 0 0 0 0 0 0 0 0 0 0
uc007jox.2 0 0 0 0 0 0 0 0 0 0
uc007joy.2 0 0 0 0 0 0 0 0 0 0
uc007joz.2 0 0 0 0 0 0 0 0 0 0
uc007jpa.1 823 1647 310 517 434 1354 512 1600 943 1502
uc007jpb.1 48 94 12 43 26 102 33 84 202 213
uc007jpc.2 0 0 0 0 0 0 0 0 0 0
uc007jpd.2 2 3 1 0 0 1 0 2 0 0
uc007jpe.1 51 95 25 43 15 48 24 60 92 132
uc007jpf.1 16 33 6 6 9 15 7 8 13 9
uc007jpg.2 0 0 0 0 0 4 0 0 1 0
uc007jph.2 0 0 0 0 0 0 0 0 0 0
uc007jpi.1 0 1 0 2 1 1 0 5 6 2
uc007jpj.2 9 21 3 5 0 12 10 17 43 60
uc007jpk.1 1 3 1 11 4 16 3 11 16 28
uc007jpl.1 0 0 0 0 0 0 0 0 0 0
uc007jpm.1 0 0 0 0 0 0 0 0 0 0
uc007jpn.2 2 3 0 3 1 8 1 1 13 25
uc007jpo.1 0 0 0 0 0 0 0 0 0 0
uc007jpp.1 3 0 0 1 0 1 1 0 3 2
uc007jpq.2 0 0 0 1 0 0 0 0 1 0
uc007jpr.1 0 0 0 0 0 1 0 0 0 0
uc007jps.1 8 20 4 0 2 7 1 3 7 2
uc007jpt.1 0 0 0 0 1 0 0 0 0 0
uc007jpu.1 0 0 0 0 0 0 0 0 0 0
uc007jpv.2 33 81 20 35 9 63 6 70 57 149
uc007jpw.1 1 3 0 0 0 4 0 1 9 1
uc007jpx.1 0 0 0 0 0 0 0 0 0 0
uc007jpy.1 267 608 107 281 225 582 158 643 1602 2369
uc007jpz.1 112 196 36 45 24 71 32 218 136 270
uc007jqa.1 0 0 0 0 0 0 0 0 0 0
uc007jqb.1 0 0 0 0 0 0 0 0 0 0
uc007jqc.2 178 314 47 77 69 168 144 164 748 926
uc007jqd.1 0 0 0 0 0 0 0 0 0 0
uc007jqe.1 68 162 61 74 59 134 107 97 201 167
uc007jqf.1 5 7 0 4 2 5 0 7 5 17
uc007jqg.1 29 76 16 21 13 42 10 33 33 44
uc007jqh.1 0 0 0 1 0 0 0 0 2 0
uc007jqi.2 47 85 17 34 28 57 12 15 61 87
uc007jqj.1 4 4 0 2 1 2 2 2 3 2
uc007jqk.1 3 11 0 1 1 2 0 7 6 6
uc007jql.2 0 0 0 0 0 0 0 0 0 0
uc007jqm.2 5 4 1 0 1 2 1 2 3 6
uc007jqn.2 0 0 0 0 0 0 0 0 0 0
uc007jqo.1 58 134 51 86 31 120 22 60 48 68
uc007jqp.2 0 0 0 1 1 0 0 2 1 0
uc007jqq.1 0 0 0 0 0 0 0 0 0 0
uc007jqr.1 2 3 0 1 0 2 0 4 5 5
uc007jqs.1 0 0 0 0 0 0 0 0 0 0
uc007jqt.1 1861 3849 638 1222 1025 3010 1199 3089 2912 4121
uc007jqu.1 176 314 70 76 65 208 63 58 46 50
uc007jqv.1 0 0 0 0 0 0 0 0 0 0
uc007jqw.1 0 1 1 0 0 0 0 0 0 1
uc007jqx.1 0 0 0 0 0 0 0 0 0 0
uc007jqy.1 0 0 0 0 0 0 0 0 0 0
uc007jqz.2 0 0 0 0 0 0 0 0 0 0
uc007jra.2 3 0 0 0 0 0 0 0 0 0
uc007jrb.2 77 135 18 33 33 73 74 45 51 52
uc007jrc.2 3 3 0 1 1 1 1 1 1 0
uc007jrd.1 0 0 0 0 0 0 0 0 0 0
uc007jre.1 0 0 0 0 0 0 0 0 0 0
uc007jrg.2 0 0 0 0 0 0 0 0 0 0
uc007jrh.2 0 0 0 0 0 0 0 0 0 0
uc007jri.2 31 54 12 18 8 44 10 25 23 40
uc007jrj.1 0 0 0 0 0 0 0 0 0 0
uc007jrk.1 2 0 0 1 0 3 0 0 0 2
uc007jrl.1 1 7 0 1 1 0 0 0 0 1
uc007jrm.2 0 0 0 0 0 2 0 0 0 0
uc007jrn.2 0 0 0 0 0 0 0 0 0 0
uc007jro.1 0 0 0 0 0 0 0 0 0 0
uc007jrq.2 42 121 17 19 20 80 6 64 234 439
uc007jrr.1 0 0 0 0 0 0 0 0 0 0
uc007jrs.2 62 105 25 24 34 77 38 83 145 172
uc007jrt.2 3 5 1 0 0 4 0 2 7 4
uc007jru.1 0 0 0 0 0 0 0 0 0 0
uc007jrv.1 0 0 0 0 1 1 0 2 0 3
uc007jrw.1 0 0 0 1 0 1 0 0 1 9
uc007jrx.1 10 9 1 9 8 15 14 2 21 22
uc007jry.1 206 356 51 105 74 228 98 260 266 468
uc007jrz.2 0 0 0 0 0 0 0 0 0 0
uc007jsa.2 1 0 0 0 0 0 0 0 0 2
uc007jsb.2 66 137 36 60 50 153 51 132 223 316
uc007jsc.2 2 1 1 2 0 3 0 2 8 10
uc007jsd.2 33 69 6 7 11 31 20 46 156 263
